S.No.;Kullanim Amaci;Stok No.;"Malzemenin 
Ad?";Malzeme De?i?im Periyodu;"Ana 
Malzemesi";Ana Malzeme Miktar?-y;Araç Ba??na Kullan?m Miktar?-z;Yil Ici Istek Yapma Sayisi-k;"t y?l? ?stek Miktar?-04 istegi
c=b-a";t y?l? ?stek Miktar?-05 istegi-d;t y?l? ?stek Miktar?-06 istegi-e;"t+1 y?l? ?stek Miktar?-04 istegi
i";t+1 y?l? ?stek Miktar?-05 istegi-j;t+1 y?l? ?stek Miktar?-06 istegi-l;"Brl.
?htiyaç Miktar?
a=y*z";Depo Mevcudu-b;"Son ihtiyaç Miktar?
c=(b-a)+(b-?)+(e-j)+l";Birim Fiyati;Kaynak Ihtiyac Miktari
35; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-439-5882 - 2815014395882;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
36; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-414-6821 - 2815014146821;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
37; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-350-2206 - 2815013502206;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
38; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-245-3162 - 2815012453162;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
39; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-412-2715 - 2815014122715;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
40; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-419-8704 - 2815014198704;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
41; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-419-0222 - 2815014190222;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
42; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-505-1477 - 2815015051477;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
43; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-506-6226 - 2815015066226;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
44; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-507-9509 - 2815015079509;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
45; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-526-5313 - 2815015265313;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
46; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-465-5993 - 2815014655993;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
47; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-484-7380 - 2815014847380;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
48; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-239-1775 - 2815012391775;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
49; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-045-9420 - 2815010459420;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
50; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-251-9138 - 2815012519138;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
51; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-211-1812 - 2815012111812;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
52; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-280-2961 - 2815012802961;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
53; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-472-9549 - 2815004729549;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
54; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-00-491-6356 - 2815004916356;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
